team,attendance,Attend/G,Est. Payroll,Season
New York Mets,2140599.0,26757.0,117176429.0,2003
New York Yankees,3465600.0,42263.0,152749814.0,2003
Oakland Athletics,2216596.0,27365.0,50260834.0,2003
Philadelphia Phillies,2259948.0,27901.0,70780000.0,2003
Pittsburgh Pirates,1636751.0,20207.0,54812429.0,2003
San Diego Padres,2030084.0,25063.0,45210000.0,2003
San Francisco Giants,3264898.0,40307.0,82852167.0,2003
Seattle Mariners,3268509.0,40352.0,86959167.0,2003
St. Louis Cardinals,2910386.0,35931.0,83786666.0,2003
Tampa Bay Devil Rays,1058695.0,13070.0,19630000.0,2003
Texas Rangers,2094394.0,25857.0,103491667.0,2003
Toronto Blue Jays,1799458.0,22216.0,51269000.0,2003
Anaheim Angels,3375677.0,41675.0,100534667.0,2004
Arizona Diamondbacks,2519560.0,31106.0,69780750.0,2004
Atlanta Braves,2327565.0,28735.0,90182500.0,2004
Baltimore Orioles,2744018.0,33877.0,51623333.0,2004
Boston Red Sox,2837294.0,35028.0,127298500.0,2004
Chicago Cubs,3170154.0,38660.0,90560000.0,2004
Chicago White Sox,1930537.0,23834.0,65212500.0,2004
Cincinnati Reds,2287250.0,28238.0,46915250.0,2004
Cleveland Indians,1814401.0,22400.0,34319300.0,2004
Colorado Rockies,2338069.0,28865.0,65445167.0,2004
Detroit Tigers,1917004.0,23667.0,46832000.0,2004
Florida Marlins,1723105.0,21539.0,42143042.0,2004
Houston Astros,3087872.0,38122.0,75397000.0,2004
Kansas City Royals,1661478.0,20768.0,47609000.0,2004
Los Angeles Dodgers,3488283.0,43065.0,92902001.0,2004
Milwaukee Brewers,2062382.0,25462.0,27528500.0,2004
Minnesota Twins,1911490.0,23599.0,53890000.0,2004
Montreal Expos,749550.0,9369.0,41197500.0,2004
New York Mets,2318951.0,28629.0,102035970.0,2004
New York Yankees,3775292.0,46609.0,184193950.0,2004
Oakland Athletics,2201516.0,27179.0,59425667.0,2004
Philadelphia Phillies,3250092.0,40125.0,93219167.0,2004
Pittsburgh Pirates,1580031.0,19750.0,32227929.0,2004
San Diego Padres,3016752.0,37244.0,55384833.0,2004
San Francisco Giants,3256854.0,39718.0,82019166.0,2004
Seattle Mariners,2940731.0,35863.0,81515834.0,2004
St. Louis Cardinals,3048427.0,37635.0,84340333.0,2004
Tampa Bay Devil Rays,1274911.0,15936.0,29856667.0,2004
Texas Rangers,2513685.0,31033.0,55050417.0,2004
Toronto Blue Jays,1900041.0,23457.0,50017000.0,2004
Arizona Diamondbacks,2059424.0,25425.0,62629166.0,2005
Atlanta Braves,2521167.0,31126.0,86457302.0,2005
Baltimore Orioles,2624740.0,32404.0,73914333.0,2005
Boston Red Sox,2847888.0,35159.0,123505125.0,2005
Chicago Cubs,3099992.0,38272.0,87032933.0,2005
Chicago White Sox,2342833.0,28924.0,75178000.0,2005
Cincinnati Reds,1943067.0,23696.0,61892583.0,2005
Cleveland Indians,2013763.0,24861.0,41502500.0,2005
Colorado Rockies,1914389.0,23634.0,47839000.0,2005
Detroit Tigers,2024431.0,24993.0,69092000.0,2005
Florida Marlins,1852608.0,22872.0,60408834.0,2005
Houston Astros,2804760.0,34627.0,76779000.0,2005
Kansas City Royals,1371181.0,16928.0,36881000.0,2005
Los Angeles Angels of Anaheim,3404686.0,42033.0,94867822.0,2005
Los Angeles Dodgers,3603646.0,44489.0,83039000.0,2005
Milwaukee Brewers,2211023.0,27297.0,39934833.0,2005
Minnesota Twins,2034243.0,25114.0,56186000.0,2005
New York Mets,2829929.0,34937.0,101305821.0,2005
New York Yankees,4090696.0,50502.0,208306817.0,2005
Oakland Athletics,2109118.0,26038.0,55425762.0,2005
Philadelphia Phillies,2665304.0,32905.0,95522000.0,2005
Pittsburgh Pirates,1817245.0,22435.0,38133000.0,2005
San Diego Padres,2869787.0,35429.0,63290833.0,2005
